,case_number,type,country,area,location,species_,date,mes,fatal_(y/n)_limpio,sex,country_,year,age
5750,1956.02.26,Unprovoked,Unknown,,,Unspecified,26-Feb-1956,Feb,Y,F,,1991.5833443275412,25.0
5751,1956.02.10.R,Unprovoked,Unknown,,,Unspecified,Reported 10-Feb-1956,Feb,N,F,,1991.5833443275412,25.0
5752,1956.01.16.R,Unprovoked,Unknown,,,Unspecified,Reported 16-Jan-1956,Jan,N,F,,1991.5833443275412,25.0
5753,1956.01.16,Unprovoked,Unknown,,,Unspecified,16-Jan-1956,Jan,Y,F,,1991.5833443275412,25.0
5754,1956.01.05,Unprovoked,Unknown,,,Unspecified,05-Jan-1956,Jan,N,F,,1991.5833443275412,25.0
5755,1956.00.00.h,Unprovoked,Unknown,,,Unspecified,1956,,N,F,,1991.5833443275412,25.0
5756,1956.00.00.g,Unprovoked,Unknown,,,Unspecified,1956,,Y,M,,1991.5833443275412,25.0
5757,1956.00.00.f,Unprovoked,Unknown,,,Unspecified,1956,,Y,M,,1991.5833443275412,25.0
5758,1956.00.00.e,Unprovoked,Unknown,,,Unspecified,1956,,N,F,,1991.5833443275412,25.0
5759,1956.00.00.d,Unprovoked,Unknown,,,Unspecified,1956,,Unknown,F,,1991.5833443275412,25.0
5760,1956.00.00.c,Unprovoked,Unknown,,,Unspecified,1956,,N,F,,1991.5833443275412,25.0
5761,1956.00.00.b,Unprovoked,Unknown,,,Unspecified,1956,,N,F,,1991.5833443275412,25.0
5762,1956.00.00.a,Unprovoked,Unknown,,,Unspecified,1956,,Y,M,,1991.5833443275412,25.0
5763,1955.12.31,Unprovoked,Unknown,,,Unspecified,Reported 31-Dec-1955,Dec,N,F,,1991.5833443275412,25.0
5764,1955.12.11,Unprovoked,Unknown,,,Unspecified,11-Dec-1955,Dec,N,M,,1991.5833443275412,25.0
5765,1955.11.16,Unprovoked,Unknown,,,Unspecified,16-Nov-1955,Nov,N,M,,1991.5833443275412,25.0
